wavelength	power
1.199999999999999946e-06	-6.930063619999999958e+01
1.200010000000000010e-06	-6.623029470000000174e+01
1.200020000000000074e-06	-6.497566030000000126e+01
1.200029999999999927e-06	-6.978607060000000217e+01
1.200039999999999991e-06	-6.762335439999999664e+01
1.200050000000000055e-06	-6.507863120000000379e+01
1.200059999999999908e-06	-7.228828500000000190e+01
1.200069999999999972e-06	-2.100000000000000000e+02
1.200080000000000036e-06	-6.659839800000000309e+01
1.200090000000000101e-06	-7.131195730000000310e+01
1.200099999999999953e-06	-2.100000000000000000e+02
1.200110000000000017e-06	-6.790687450000000069e+01
1.200120000000000082e-06	-6.407446360000000141e+01
1.200129999999999934e-06	-6.521643260000000453e+01
1.200139999999999999e-06	-6.808580879999999524e+01
1.200150000000000063e-06	-6.789628570000000707e+01
1.200159999999999915e-06	-7.014199680000000114e+01
1.200169999999999980e-06	-2.100000000000000000e+02
1.200180000000000044e-06	-6.727893380000000434e+01
1.200189999999999896e-06	-6.983522739999999374e+01
1.200199999999999961e-06	-6.368309440000000166e+01
1.200210000000000025e-06	-7.019734119999999677e+01
1.200220000000000089e-06	-6.518426139999999691e+01
1.200229999999999942e-06	-6.545784840000000315e+01
1.200240000000000006e-06	-6.739654899999999316e+01
1.200250000000000070e-06	-6.614078290000000493e+01
1.200259999999999923e-06	-2.100000000000000000e+02
1.200269999999999987e-06	-7.134341100000000324e+01
1.200280000000000051e-06	-6.698619200000000262e+01
1.200289999999999904e-06	-6.509852460000000463e+01
1.200299999999999968e-06	-6.875390210000000479e+01
1.200310000000000033e-06	-2.100000000000000000e+02
1.200320000000000097e-06	-6.965528519999999446e+01
1.200329999999999949e-06	-7.297064980000000389e+01
1.200340000000000014e-06	-6.837382850000000190e+01
1.200350000000000078e-06	-6.690778050000000121e+01
1.200359999999999930e-06	-7.267101030000000605e+01
1.200369999999999995e-06	-6.904442570000000501e+01
1.200380000000000059e-06	-6.932357220000000098e+01
1.200389999999999911e-06	-6.837919449999999699e+01
1.200399999999999976e-06	-6.960971940000000302e+01
1.200410000000000040e-06	-6.879256159999999909e+01
1.200420000000000104e-06	-6.326043810000000178e+01
1.200429999999999957e-06	-6.514709580000000244e+01
1.200440000000000021e-06	-6.738307880000000694e+01
1.200450000000000085e-06	-6.413138089999999636e+01
1.200459999999999938e-06	-6.437813280000000304e+01
1.200470000000000002e-06	-7.126719129999999325e+01
1.200480000000000066e-06	-7.075094459999999685e+01
1.200489999999999919e-06	-2.100000000000000000e+02
1.200499999999999983e-06	-6.984352629999999351e+01
1.200510000000000048e-06	-6.766869420000000446e+01
1.200519999999999900e-06	-6.809547600000000500e+01
1.200529999999999964e-06	-6.524043670000000361e+01
1.200540000000000029e-06	-6.726499459999999431e+01
1.200550000000000093e-06	-6.889079239999999515e+01
1.200559999999999945e-06	-7.947564579999999523e+01
1.200570000000000010e-06	-6.438771619999999984e+01
1.200580000000000074e-06	-6.814523939999999413e+01
1.200589999999999926e-06	-6.823917539999999349e+01
1.200599999999999991e-06	-6.614850450000000137e+01
1.200610000000000055e-06	-2.100000000000000000e+02
1.200619999999999908e-06	-8.930765209999999854e+01
1.200629999999999972e-06	-6.894335999999999842e+01
1.200640000000000036e-06	-2.100000000000000000e+02
1.200650000000000100e-06	-6.575276549999999531e+01
1.200659999999999953e-06	-6.526114789999999743e+01
1.200670000000000017e-06	-6.927186050000000250e+01
1.200680000000000081e-06	-6.671517269999999655e+01
1.200689999999999934e-06	-2.100000000000000000e+02
1.200699999999999998e-06	-6.503433889999999451e+01
1.200710000000000063e-06	-7.106506509999999821e+01
1.200719999999999915e-06	-6.903669849999999997e+01
1.200729999999999979e-06	-6.369596099999999694e+01
1.200740000000000044e-06	-7.037582930000000658e+01
1.200749999999999896e-06	-6.948960119999999563e+01
1.200759999999999960e-06	-6.617904319999999530e+01
1.200770000000000025e-06	-6.857755629999999769e+01
1.200780000000000089e-06	-6.526745459999999355e+01
1.200789999999999942e-06	-6.782395850000000337e+01
1.200800000000000006e-06	-2.100000000000000000e+02
1.200810000000000070e-06	-6.577478200000000186e+01
1.200819999999999923e-06	-6.339251010000000264e+01
1.200829999999999987e-06	-6.823131960000000618e+01
1.200840000000000051e-06	-6.701418970000000286e+01
1.200849999999999904e-06	-6.937348129999999458e+01
1.200859999999999968e-06	-7.840648529999999994e+01
1.200870000000000032e-06	-6.503105890000000500e+01
1.200880000000000097e-06	-2.100000000000000000e+02
1.200889999999999949e-06	-6.412544230000000312e+01
1.200900000000000013e-06	-6.750157389999999680e+01
1.200910000000000078e-06	-6.829082329999999956e+01
1.200919999999999930e-06	-6.560000340000000563e+01
1.200929999999999994e-06	-6.263639460000000270e+01
1.200940000000000059e-06	-7.146093740000000594e+01
1.200949999999999911e-06	-6.672486619999999391e+01
1.200959999999999975e-06	-7.043266420000000494e+01
1.200970000000000040e-06	-6.916368219999999667e+01
1.200980000000000104e-06	-2.100000000000000000e+02
1.200989999999999957e-06	-6.928570129999999949e+01
1.201000000000000021e-06	-6.756835159999999973e+01
1.201010000000000085e-06	-6.795403190000000393e+01
1.201019999999999938e-06	-6.551746110000000556e+01
1.201030000000000002e-06	-7.056303280000000200e+01
1.201040000000000066e-06	-6.636732320000000129e+01
1.201049999999999919e-06	-6.833613019999999949e+01
1.201059999999999983e-06	-7.149078339999999798e+01
1.201070000000000047e-06	-6.801336659999999767e+01
1.201079999999999900e-06	-6.480941989999999464e+01
1.201089999999999964e-06	-6.571456689999999412e+01
1.201100000000000028e-06	-7.501337940000000515e+01
1.201110000000000093e-06	-6.734626249999999459e+01
1.201119999999999945e-06	-8.470148989999999856e+01
1.201130000000000009e-06	-6.656331550000000163e+01
1.201140000000000074e-06	-6.584639110000000528e+01
1.201149999999999926e-06	-6.335011959999999931e+01
1.201159999999999990e-06	-6.860655889999999602e+01
1.201170000000000055e-06	-7.385322220000000470e+01
1.201179999999999907e-06	-6.782595870000000104e+01
1.201189999999999972e-06	-6.654489700000000596e+01
1.201200000000000036e-06	-7.389559800000000678e+01
1.201210000000000100e-06	-6.927079170000000374e+01
1.201219999999999953e-06	-6.598877760000000592e+01
1.201230000000000017e-06	-7.737470430000000476e+01
1.201240000000000081e-06	-6.583400269999999921e+01
1.201249999999999934e-06	-6.916336499999999887e+01
1.201259999999999998e-06	-6.841889960000000315e+01
1.201270000000000062e-06	-6.368757039999999847e+01
1.201279999999999915e-06	-6.475980749999999375e+01
1.201289999999999979e-06	-6.540112209999999493e+01
1.201300000000000043e-06	-7.114501900000000489e+01
1.201309999999999896e-06	-2.100000000000000000e+02
1.201319999999999960e-06	-6.782790160000000412e+01
1.201330000000000024e-06	-6.491065679999999816e+01
1.201340000000000089e-06	-6.765013570000000698e+01
1.201349999999999941e-06	-6.700868719999999712e+01
1.201360000000000006e-06	-7.489718379999999343e+01
